date, datatype, valuestation,attributes
2015-01-20T00:00:00,WSF5,12.5,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,AWND,1.1,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-21T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,SNWD,50.0,GHCND:USW00014764,",,W,2400"
2015-01-21T00:00:00,TAVG,-5.1,GHCND:USW00014764,"H,,S,"
2015-01-21T00:00:00,TMAX,-0.5,GHCND:USW00014764,",,W,2400"
2015-01-21T00:00:00,TMIN,-11.0,GHCND:USW00014764,",,W,2400"
2015-01-21T00:00:00,WDF2,350,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,WDF5,340,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,WSF2,4.0,GHCND:USW00014764,",,W,"
2015-01-21T00:00:00,WSF5,4.9,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,AWND,1.7,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-22T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,SNWD,50.0,GHCND:USW00014764,",,W,2400"
2015-01-22T00:00:00,TAVG,-2.8,GHCND:USW00014764,"H,,S,"
2015-01-22T00:00:00,TMAX,3.3,GHCND:USW00014764,",,W,2400"
2015-01-22T00:00:00,TMIN,-6.0,GHCND:USW00014764,",,W,2400"
2015-01-22T00:00:00,WDF2,360,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,WDF5,360,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,WSF2,4.5,GHCND:USW00014764,",,W,"
2015-01-22T00:00:00,WSF5,5.8,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,AWND,3.0,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-23T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,SNWD,30.0,GHCND:USW00014764,",,W,2400"
2015-01-23T00:00:00,TAVG,-3.4,GHCND:USW00014764,"H,,S,"
2015-01-23T00:00:00,TMAX,1.7,GHCND:USW00014764,",,W,2400"
2015-01-23T00:00:00,TMIN,-8.2,GHCND:USW00014764,",,W,2400"
2015-01-23T00:00:00,WDF2,250,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,WDF5,300,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,WSF2,5.8,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,WSF5,8.1,GHCND:USW00014764,",,W,"
2015-01-23T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,AWND,3.4,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,PRCP,6.9,GHCND:USW00014764,",,W,2400"
2015-01-24T00:00:00,SNOW,84.0,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,SNWD,30.0,GHCND:USW00014764,",,W,2400"
2015-01-24T00:00:00,TAVG,-1.7,GHCND:USW00014764,"H,,S,"
2015-01-24T00:00:00,TMAX,0.0,GHCND:USW00014764,",,W,2400"
2015-01-24T00:00:00,TMIN,-3.8,GHCND:USW00014764,",,W,2400"
2015-01-24T00:00:00,WDF2,330,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,WDF5,340,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,WSF2,8.1,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,WSF5,10.7,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-24T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-25T00:00:00,AWND,5.5,GHCND:USW00014764,",,W,"
2015-01-25T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-25T00:00:00,SNOW,0.0,GHCND:USW00014764,"T,,W,"
2015-01-25T00:00:00,SNWD,130.0,GHCND:USW00014764,",,W,2400"
2015-01-25T00:00:00,TAVG,-0.5,GHCND:USW00014764,"H,,S,"
2015-01-25T00:00:00,TMAX,2.8,GHCND:USW00014764,",,W,2400"
2015-01-25T00:00:00,TMIN,-11.6,GHCND:USW00014764,",,W,2400"
